Group,2011,2012,2013,2014,2015,2016,2017,2018
Samtliga personer,1.9,2.1,2.0,2.0,2.0,1.9,1.8,1.8
Samtliga personer 20-år,1.6,1.8,1.7,1.7,1.7,1.6,1.5,1.5
Ensamstående utan barn,1.7,1.9,1.9,1.8,1.8,1.7,1.7,1.6
Ensamstående kvinnor utan barn,1.2,1.3,1.4,1.4,1.3,1.3,1.3,1.3
Ensamstående män utan barn,2.3,2.4,2.4,2.4,2.3,2.1,2.0,2.0
Ensamstående med barn 0-19 år,5.5,6.0,6.1,6.0,6.0,5.6,5.3,5.2
Ensamstående kvinnor med barn 0-19 år,6.1,6.7,6.7,6.7,6.5,6.1,5.8,5.7
Ensamstående män med barn 0-19 år,3.8,4.0,4.2,4.2,4.4,4.1,3.9,3.7
Ensamstående med kvarboende unga vuxna 20-29 år,3.8,4.0,4.0,4.0,4.0,4.0,3.9,3.9
Ensamstående kvinnor med kvarboende unga vuxna 20-29 år,3.3,3.5,3.6,3.5,3.4,3.3,3.3,3.4
Ensamstående män med kvarboende unga vuxna 20-29 år,4.4,4.6,4.4,4.5,4.8,4.7,4.5,4.5
Sammanboende utan barn,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3
Sammanboende med barn 0-19 år,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.1
Sammanboende med kvarboende unga vuxna 20-29 år,1.0,1.1,1.1,1.0,1.1,1.1,1.1,1.1
Övriga hushåll utan barn,3.3,3.6,3.6,3.4,3.2,3.3,3.3,3.2
Övriga hushåll med barn 0-19 år,5.7,5.9,5.5,5.1,5.1,4.5,4.4,4.5
Samtliga personer 0-19 år,2.8,3.1,3.0,3.0,2.9,2.8,2.7,2.7
Barn till ensamstående,6.2,6.8,6.8,6.8,6.7,6.3,6.0,5.9
Barn till ensamstående kvinnor,7.0,7.8,7.9,7.8,7.7,7.3,6.9,6.9
Barn till ensamstående män,2.9,2.9,3.1,3.1,3.2,3.1,3.0,2.7
Barn till sammanboende,1.6,1.7,1.7,1.7,1.6,1.6,1.5,1.5
Barn i övriga hushåll,7.0,7.3,6.7,6.3,6.2,5.6,5.3,5.6
Ej boende med förälder,6.6,7.8,7.9,8.3,7.9,7.6,7.6,9.8
